ID	dt	Pressure	Temperature	Conductivity	Salinity	Fluoro	Light
14013	2015-12-22 14:10:10	1.86	13.136	26.147	21.220	0.011	896.95
14013	2015-12-22 14:10:11	2.13	13.138	35.860	30.071	0.066	940.11
14013	2015-12-22 14:10:12	1.70	13.136	39.428	33.420	0.096	881.83
14013	2015-12-22 14:10:13	2.40	13.138	40.751	34.672	0.104	254.17
14013	2015-12-22 14:10:14	2.53	13.136	41.222	35.121	0.103	874.80
14013	2015-12-22 14:10:15	1.93	13.134	41.408	35.301	0.105	847.25
14013	2015-12-22 14:10:16	2.26	13.133	41.472	35.362	0.108	873.06
14013	2015-12-22 14:10:17	2.43	13.136	41.500	35.386	0.102	845.56
14013	2015-12-22 14:10:18	2.33	13.136	41.508	35.394	0.101	836.31
14013	2015-12-22 14:10:19	1.86	13.135	41.512	35.399	0.103	865.23
14013	2015-12-22 14:10:20	2.70	13.136	41.511	35.397	0.111	804.32
14013	2015-12-22 14:10:21	2.20	13.132	41.512	35.402	0.112	838.82
14013	2015-12-22 14:10:22	2.46	13.134	41.513	35.401	0.107	827.16
14013	2015-12-22 14:10:23	2.26	13.133	41.512	35.401	0.102	808.35
14013	2015-12-22 14:10:24	2.33	13.134	41.513	35.401	0.106	830.48
14013	2015-12-22 14:10:25	2.80	13.134	41.515	35.402	0.102	823.04
14013	2015-12-22 14:10:26	2.33	13.133	41.508	35.397	0.104	813.22
14013	2015-12-22 14:10:27	2.76	13.132	41.510	35.399	0.106	787.61
14013	2015-12-22 14:10:28	2.96	13.135	41.513	35.399	0.103	800.31
14013	2015-12-22 14:10:29	2.56	13.135	41.510	35.397	0.102	776.66
14013	2015-12-22 14:10:30	2.70	13.133	41.515	35.403	0.103	756.73
14013	2015-12-22 14:10:31	2.40	13.136	41.512	35.398	0.103	746.95
14013	2015-12-22 14:10:32	2.96	13.135	41.516	35.402	0.102	789.97
14013	2015-12-22 14:10:33	2.83	13.134	41.516	35.403	0.100	814.03
14013	2015-12-22 14:10:34	2.50	13.135	41.517	35.403	0.099	759.00
14013	2015-12-22 14:10:35	2.33	13.136	41.512	35.398	0.103	749.95
14013	2015-12-22 14:10:36	2.43	13.136	41.516	35.402	0.108	757.48
14013	2015-12-22 14:10:37	2.46	13.135	41.516	35.402	0.103	746.20
14013	2015-12-22 14:10:38	3.23	13.135	41.517	35.403	0.102	752.20
14013	2015-12-22 14:10:39	3.16	13.136	41.515	35.400	0.099	746.20
14013	2015-12-22 14:10:40	2.76	13.136	41.516	35.401	0.101	758.24
14013	2015-12-22 14:10:41	3.33	13.137	41.517	35.401	0.102	701.35
14013	2015-12-22 14:10:42	3.53	13.134	41.517	35.404	0.099	704.16
14013	2015-12-22 14:10:43	2.63	13.138	41.518	35.401	0.102	685.40
14013	2015-12-22 14:10:44	3.26	13.135	41.518	35.404	0.100	682.66
14013	2015-12-22 14:10:45	2.80	13.134	41.520	35.407	0.104	663.81
14013	2015-12-22 14:10:46	3.40	13.136	41.518	35.403	0.104	653.93
14013	2015-12-22 14:10:47	3.46	13.136	41.516	35.401	0.106	651.32
14013	2015-12-22 14:10:48	3.90	13.137	41.515	35.399	0.105	609.11
14013	2015-12-22 14:10:49	4.56	13.136	41.516	35.401	0.109	633.97
14013	2015-12-22 14:10:50	4.56	13.136	41.516	35.401	0.105	596.45
14013	2015-12-22 14:10:51	4.80	13.138	41.517	35.400	0.103	575.94
14013	2015-12-22 14:10:52	4.16	13.135	41.521	35.406	0.104	594.67
14013	2015-12-22 14:10:53	3.96	13.136	41.522	35.407	0.106	616.46
14013	2015-12-22 14:10:54	3.36	13.139	41.523	35.405	0.105	640.98
14013	2015-12-22 14:10:55	3.56	13.140	41.525	35.406	0.101	671.83
14013	2015-12-22 14:10:56	4.23	13.141	41.523	35.403	0.105	658.52
14013	2015-12-22 14:10:57	3.63	13.140	41.522	35.403	0.109	723.43
14013	2015-12-22 14:10:58	4.80	13.142	41.525	35.403	0.105	653.28
14013	2015-12-22 14:10:59	4.33	13.139	41.525	35.406	0.109	678.58
14013	2015-12-22 14:11:00	3.76	13.139	41.526	35.408	0.105	640.34
14013	2015-12-22 14:11:01	4.23	13.142	41.526	35.405	0.102	639.70
14013	2015-12-22 14:11:02	3.46	13.139	41.523	35.405	0.102	688.15
14013	2015-12-22 14:11:03	4.46	13.141	41.522	35.402	0.101	667.14
14013	2015-12-22 14:11:04	4.40	13.142	41.525	35.404	0.103	629.55
14013	2015-12-22 14:11:05	5.06	13.142	41.525	35.403	0.102	625.16
14013	2015-12-22 14:11:06	4.40	13.142	41.526	35.405	0.109	610.33
14013	2015-12-22 14:11:07	4.46	13.140	41.525	35.405	0.111	586.40
14013	2015-12-22 14:11:08	4.86	13.136	41.525	35.409	0.104	589.34
14013	2015-12-22 14:11:09	5.33	13.137	41.523	35.406	0.107	603.65
14013	2015-12-22 14:11:10	4.76	13.137	41.522	35.405	0.103	608.50
14013	2015-12-22 14:11:11	4.93	13.137	41.526	35.409	0.106	615.85
14013	2015-12-22 14:11:12	4.76	13.136	41.526	35.410	0.103	604.26
14013	2015-12-22 14:11:13	4.70	13.138	41.523	35.405	0.102	617.08
14013	2015-12-22 14:11:14	5.50	13.141	41.526	35.405	0.103	589.93
14013	2015-12-22 14:11:15	4.90	13.141	41.528	35.407	0.103	574.79
14013	2015-12-22 14:11:16	5.73	13.140	41.530	35.410	0.101	547.30
14013	2015-12-22 14:11:17	4.96	13.140	41.528	35.408	0.106	552.80
14013	2015-12-22 14:11:18	5.50	13.142	41.525	35.403	0.109	519.57
14013	2015-12-22 14:11:19	4.66	13.143	41.526	35.404	0.108	523.74
14013	2015-12-22 14:11:20	5.63	13.142	41.528	35.406	0.109	542.94
14013	2015-12-22 14:11:21	5.90	13.145	41.532	35.407	0.101	560.04
