MMSI, STATUS, SPEED, LON, LAT, COURSE, HEADING, TIMESTAMP, SHIP_ID
228263700,0,7,-3.962305,48.71863,220,213,2015-12-21T10:30:38,50
228263700,0,18,-3.961975,48.71941,352,139,2015-12-21T10:34:24,50
228263700,0,9,-3.962133,48.72028,40,131,2015-12-21T10:36:24,50
228263700,0,0,-3.962295,48.72053,136,136,2015-12-21T10:40:12,50
228263700,5,0,-3.962375,48.72057,137,137,2015-12-21T11:02:11,50
228263700,5,0,-3.962377,48.72057,137,137,2015-12-21T11:23:11,50
228263700,5,0,-3.962377,48.72057,137,137,2015-12-21T11:44:11,50
228263700,5,0,-3.962372,48.72056,136,136,2015-12-21T12:05:11,50
228263700,5,0,-3.962373,48.72056,135,136,2015-12-21T12:26:11,50
228263700,5,0,-3.962373,48.72057,137,137,2015-12-21T12:47:11,50
228263700,5,0,-3.962363,48.72057,137,137,2015-12-21T13:08:12,50
228263700,0,0,-3.962372,48.72057,136,137,2015-12-21T13:29:52,50
228263700,0,0,-3.962373,48.72057,136,137,2015-12-21T13:53:32,50
228263700,0,39,-3.961793,48.71975,130,142,2015-12-21T13:56:52,50
228263700,0,133,-3.951888,48.72347,27,27,2015-12-21T13:59:52,50
228263700,0,195,-3.947525,48.73764,4,5,2015-12-21T14:02:52,50
228263700,0,217,-3.947138,48.75526,0,359,2015-12-21T14:05:52,50
228263700,0,220,-3.944145,48.77469,5,2,2015-12-21T14:09:04,50
228263700,0,226,-3.942138,48.78839,4,2,2015-12-21T14:11:16,50
228263700,0,225,-3.940982,48.80094,2,0,2015-12-21T14:13:16,50
228263700,0,225,-3.940982,48.80094,2,0,2015-12-21T14:13:16,50
228263700,0,228,-3.939405,48.81358,4,1,2015-12-21T14:15:16,50
228263700,0,228,-3.937737,48.82625,5,1,2015-12-21T14:17:16,50
228263700,0,230,-3.936025,48.83897,3,0,2015-12-21T14:19:16,50
228263700,0,230,-3.934378,48.85174,5,1,2015-12-21T14:21:16,50
228263700,0,228,-3.93277,48.86452,2,359,2015-12-21T14:23:16,50
228263700,0,229,-3.931228,48.87727,3,0,2015-12-21T14:25:16,50
228263700,0,228,-3.929617,48.89002,2,0,2015-12-21T14:27:16,50
228263700,0,229,-3.92802,48.90276,4,1,2015-12-21T14:29:16,50
228263700,0,230,-3.926545,48.91557,2,0,2015-12-21T14:31:16,50
