#YY;MM;DD;hh;mm;WDIR;WSPD;GST;WVHT;DPD;APD;MWD;PRES;ATMP;WTMP;DEWP;VIS;PTDY;TIDE;
#yr;mo;dy;hr;mn;degT;m/s;m/s;m;sec;sec;degT;hPa;degC;degC;degC;nmi;hPa;ft;
2017;08;31;20;00;MM;MM;MM;MM;MM;MM;MM;1019.3;14.6;MM;11.4;MM;MM;MM;
2017;08;31;19;00;MM;MM;MM;MM;MM;MM;MM;1019.0;14.4;MM;11.2;MM;MM;MM;
2017;08;31;18;00;MM;MM;MM;MM;MM;MM;MM;1018.6;14.4;MM;11.5;MM;MM;MM;
2017;08;31;17;00;MM;MM;MM;MM;MM;MM;MM;1018.3;15.4;MM;10.8;MM;MM;MM;
2017;08;31;16;00;MM;MM;MM;MM;MM;MM;MM;1018.2;15.9;MM;11.2;MM;MM;MM;
2017;08;31;15;00;MM;MM;MM;MM;MM;MM;MM;1018.4;15.9;MM;10.3;MM;MM;MM;
2017;08;31;14;00;MM;MM;MM;MM;MM;MM;MM;1018.5;16.0;MM;11.2;MM;MM;MM;
2017;08;31;13;00;MM;MM;MM;MM;MM;MM;MM;1018.7;16.1;MM;11.0;MM;MM;MM;
2017;08;31;12;00;MM;MM;MM;MM;MM;MM;MM;1018.7;15.9;MM;10.9;MM;MM;MM;
2017;08;31;11;00;MM;MM;MM;MM;MM;MM;MM;1018.6;15.6;MM;10.7;MM;MM;MM;
2017;08;31;10;00;MM;MM;MM;MM;MM;MM;MM;1018.6;15.4;MM;10.7;MM;MM;MM;
2017;08;31;09;00;MM;MM;MM;MM;MM;MM;MM;1018.3;15.3;MM;11.0;MM;MM;MM;
2017;08;31;08;00;MM;MM;MM;MM;MM;MM;MM;1018.0;14.9;MM;10.7;MM;MM;MM;
2017;08;31;07;00;MM;MM;MM;MM;MM;MM;MM;1017.7;14.3;MM;10.6;MM;MM;MM;
2017;08;31;06;00;MM;MM;MM;MM;MM;MM;MM;1017.1;14.6;MM;11.0;MM;MM;MM;
2017;08;31;05;00;MM;MM;MM;MM;MM;MM;MM;1016.4;14.6;MM;10.9;MM;MM;MM;
2017;08;31;04;00;MM;MM;MM;MM;MM;MM;MM;1016.1;14.5;MM;11.5;MM;MM;MM;
2017;08;31;03;00;MM;MM;MM;MM;MM;MM;MM;1015.8;15.0;MM;11.9;MM;MM;MM;
2017;08;31;02;00;MM;MM;MM;MM;MM;MM;MM;1015.6;15.0;MM;11.2;MM;MM;MM;
2017;08;31;01;00;MM;MM;MM;MM;MM;MM;MM;1015.8;15.2;MM;11.8;MM;MM;MM;
2017;08;31;00;00;MM;MM;MM;MM;MM;MM;MM;1015.8;15.3;MM;11.7;MM;MM;MM;
2017;08;30;23;00;MM;MM;MM;MM;MM;MM;MM;1016.0;15.2;MM;11.3;MM;MM;MM;
2017;08;30;22;00;MM;MM;MM;MM;MM;MM;MM;1016.0;15.3;MM;11.5;MM;MM;MM;
2017;08;30;21;00;MM;MM;MM;MM;MM;MM;MM;1015.9;15.4;MM;11.6;MM;MM;MM;
