Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2017-10-18 12:50 (UTC),Terr-AIS,0,,-3.96237206,48.7205696,,,137
2017-10-18 13:06 (UTC),Terr-AIS,0.6,,-3.96233702,48.7204895,,,182
2017-10-18 13:09 (UTC),Terr-AIS,2.4,,-3.96044302,48.7195282,,,74
2017-10-18 13:12 (UTC),Terr-AIS,7,,-3.95737195,48.7215614,,,35
2017-10-18 13:14 (UTC),Terr-AIS,10.7,,-3.95230007,48.7270088,,,25
2017-10-18 13:16 (UTC),Terr-AIS,11.3,,-3.9484129,48.7344589,,,13
2017-10-18 13:19 (UTC),Terr-AIS,11.3,,-3.945997,48.7411308,,,12
2017-10-18 13:21 (UTC),Terr-AIS,15.1,,-3.94543791,48.7490883,,,0
2017-10-18 13:23 (UTC),Terr-AIS,19.3,,-3.94525003,48.7609901,,,1
2017-10-18 13:26 (UTC),Terr-AIS,21.6,,-3.9453671,48.7806015,,,358
2017-10-18 13:29 (UTC),Terr-AIS,21.8,,-3.94511199,48.7943993,,,1
2017-10-18 13:31 (UTC),Terr-AIS,21.9,,-3.94497705,48.8078308,,,358
2017-10-18 13:33 (UTC),Terr-AIS,22,,-3.94523191,48.8219604,,,359
2017-10-18 13:36 (UTC),Terr-AIS,22.1,,-3.94516206,48.8359413,,,2
2017-10-18 13:38 (UTC),Terr-AIS,22.2,,-3.94448304,48.85009,,,1
2017-10-18 13:40 (UTC),Terr-AIS,22.2,,-3.94377995,48.8637619,,,2
2017-10-18 13:43 (UTC),Terr-AIS,22.5,,-3.943115,48.8830414,,,1
2017-10-18 13:46 (UTC),Terr-AIS,22.5,,-3.94254303,48.8993301,,,1
2017-10-18 13:48 (UTC),Terr-AIS,22.6,,-3.94214296,48.9137497,,,1
2017-10-18 13:52 (UTC),Terr-AIS,22.6,,-3.94172311,48.9363785,,,1
2017-10-18 13:54 (UTC),Terr-AIS,22.4,,-3.94141698,48.950119,,,1
2017-10-18 13:56 (UTC),Terr-AIS,22.3,,-3.94114804,48.9643898,,,359
2017-10-18 14:00 (UTC),Terr-AIS,22.2,,-3.94183707,48.9860191,,,358
2017-10-18 14:02 (UTC),Terr-AIS,22.2,,-3.94321799,48.9994392,,,356
2017-10-18 14:04 (UTC),Terr-AIS,22.1,,-3.94441795,49.0099792,,,356
2017-10-18 14:06 (UTC),Terr-AIS,22.2,,-3.94607306,49.0240211,,,356
2017-10-18 14:08 (UTC),Terr-AIS,22.2,,-3.94777989,49.0382805,,,356
2017-10-18 14:12 (UTC),Terr-AIS,22.2,,-3.950212,49.0597,,,357
2017-10-18 14:14 (UTC),Terr-AIS,22.1,,-3.95166492,49.0732193,,,357
2017-10-18 14:16 (UTC),Terr-AIS,22.2,,-3.95317507,49.086731,,,357
2017-10-18 14:20 (UTC),Terr-AIS,22.2,,-3.95565295,49.1083717,-3.95,48.75,357
2017-10-18 14:22 (UTC),Terr-AIS,22.3,,-3.95727801,49.1218109,,,357
2017-10-18 14:24 (UTC),Terr-AIS,22.2,,-3.95902491,49.1361008,,,356
2017-10-18 14:27 (UTC),Terr-AIS,22.3,,-3.96153688,49.1563988,,,357
2017-10-18 14:30 (UTC),Terr-AIS,22.3,,-3.96325994,49.170639,,,356
2017-10-18 14:32 (UTC),Terr-AIS,22.3,,-3.96483994,49.1837616,,,356
2017-10-18 14:34 (UTC),Terr-AIS,22.3,,-3.96662307,49.1991501,,,356
2017-10-18 14:37 (UTC),Terr-AIS,22.4,,-3.96813989,49.2135506,,,357
2017-10-18 14:39 (UTC),Terr-AIS,22.3,,-3.969558,49.2277298,,,357
2017-10-18 14:41 (UTC),Terr-AIS,21.1,,-3.97074294,49.2404213,,,357
2017-10-18 14:43 (UTC),Terr-AIS,21,,-3.9716599,49.2533493,,,4
2017-10-18 14:47 (UTC),Terr-AIS,21.2,,-3.96753502,49.2736816,,,8
2017-10-18 14:49 (UTC),Terr-AIS,21.4,,-3.96354795,49.2864304,,,17
2017-10-18 14:51 (UTC),Terr-AIS,21.4,,-3.95771694,49.3002281,,,15
2017-10-18 14:54 (UTC),Terr-AIS,21.4,,-3.95220494,49.3134689,,,16
2017-10-18 14:56 (UTC),Terr-AIS,21.2,,-3.94669008,49.3266602,,,16
2017-10-18 14:58 (UTC),Terr-AIS,21.2,,-3.94106507,49.3396683,,,16
2017-10-18 15:01 (UTC),Terr-AIS,21.2,,-3.93296504,49.3585281,,,17
