 Timestamp,Source,Speed (kn),,Longitude (°),Latitude (°),lon2,lat2,Course (°)
2018-02-07 17:14 (UTC),Terr-AIS,0,,-21.85325,64.15,,,270
2018-02-07 17:27 (UTC),Terr-AIS,7,,-21.85299,64.15012,,,79
2018-02-07 17:30 (UTC),Terr-AIS,36,,-21.8503,64.15166,,,356
2018-02-07 17:32 (UTC),Terr-AIS,50,,-21.85298,64.15412,,,317
2018-02-07 17:34 (UTC),Terr-AIS,56,,-21.85966,64.15754,,,319
2018-02-07 17:37 (UTC),Terr-AIS,86,,-21.86642,64.1608,,,316
2018-02-07 17:39 (UTC),Terr-AIS,101,,-21.87634,64.16518,,,314
2018-02-07 17:42 (UTC),Terr-AIS,118,,-21.88774,64.17029,,,316
2018-02-07 17:45 (UTC),Terr-AIS,123,,-21.90451,64.17802,,,316
2018-02-07 17:47 (UTC),Terr-AIS,124,,-21.91606,64.18332,,,316
2018-02-07 17:50 (UTC),Terr-AIS,124,,-21.92873,64.18928,,,316
2018-02-07 17:53 (UTC),Terr-AIS,125,,-21.93995,64.19459,,,320
2018-02-07 17:56 (UTC),Terr-AIS,119,,-21.96628,64.1954,,,260
2018-02-07 17:59 (UTC),Terr-AIS,121,,-21.98367,64.19396,,,259
2018-02-07 18:02 (UTC),Terr-AIS,127,,-22.01451,64.19073,,,257
2018-02-07 18:05 (UTC),Terr-AIS,127,,-22.03949,64.18819,,,257
2018-02-07 18:07 (UTC),Terr-AIS,128,,-22.05817,64.18632,,,257
2018-02-07 18:09 (UTC),Terr-AIS,127,,-22.07623,64.18409,,,254
2018-02-07 18:12 (UTC),Terr-AIS,126,,-22.09193,64.1824,,,259
2018-02-07 18:14 (UTC),Terr-AIS,127,,-22.10909,64.18143,,,264
2018-02-07 18:17 (UTC),Terr-AIS,127,,-22.10909,64.18143,,,264
2018-02-07 18:19 (UTC),Terr-AIS,129,,-22.13741,64.18,,,263
2018-02-07 18:22 (UTC),Terr-AIS,129,,-22.15634,64.17898,,,263
2018-02-07 18:24 (UTC),Terr-AIS,130,,-22.17538,64.17798,,,262
2018-02-07 18:27 (UTC),Terr-AIS,129,,-22.19422,64.17697,,,262
2018-02-07 18:30 (UTC),Terr-AIS,128,,-22.21169,64.17595,,,262
2018-02-07 18:32 (UTC),Terr-AIS,129,,-22.2293,64.17494,,,261
2018-02-07 18:34 (UTC),Terr-AIS,129,,-22.24293,64.17413,,,262
2018-02-07 18:36 (UTC),Terr-AIS,128,,-22.25911,64.17319,,,262
2018-02-07 18:39 (UTC),Terr-AIS,129,,-22.27658,64.17216,,,263
2018-02-07 18:43 (UTC),Terr-AIS,130,,-22.29277,64.17117,,,262
2018-02-07 18:45 (UTC),Terr-AIS,129,,-22.31019,64.17015,,,261
2018-02-07 18:47 (UTC),Terr-AIS,128,,-22.32634,64.16925,,,262
2018-02-07 18:49 (UTC),Terr-AIS,127,,-22.3424,64.16833,,,263
2018-02-07 18:53 (UTC),Terr-AIS,126,,-22.361,64.16724,,,262
2018-02-07 18:55 (UTC),Terr-AIS,124,,-22.38094,64.16625,,,266
2018-02-07 18:58 (UTC),Terr-AIS,125,,-22.40203,64.16572,,,266
2018-02-07 19:00 (UTC),Terr-AIS,125,,-22.41909,64.16532,,,266
2018-02-07 19:02 (UTC),Terr-AIS,126,,-22.44444,64.16476,,,267
2018-02-07 19:06 (UTC),Terr-AIS,126,,-22.46046,64.16438,,,266
2018-02-07 19:08 (UTC),Terr-AIS,126,,-22.48066,64.16386,,,266
2018-02-07 19:11 (UTC),Terr-AIS,127,,-22.50469,64.16327,,,267
2018-02-07 19:14 (UTC),Terr-AIS,125,,-22.52437,64.1628,,,266
2018-02-07 19:17 (UTC),Terr-AIS,125,,-22.54021,64.16245,,,267
2018-02-07 19:20 (UTC),Terr-AIS,124,,-22.55743,64.16208,,,267
2018-02-07 19:23 (UTC),Terr-AIS,123,,-22.5731,64.16177,,,267
2018-02-07 19:26 (UTC),Terr-AIS,122,,-22.59531,64.1614,,,268
2018-02-07 19:30 (UTC),Terr-AIS,121,,-22.61204,64.16109,,,267
2018-02-07 19:32 (UTC),Terr-AIS,121,,-22.62863,64.16086,,,268
2018-02-07 19:34 (UTC),Terr-AIS,122,,-22.65438,64.16055,,,267
2018-02-07 19:36 (UTC),Terr-AIS,121,,-22.67893,64.16028,,,268
2018-02-07 19:38 (UTC),Terr-AIS,123,,-22.70098,64.1601,,,269
2018-02-07 19:40 (UTC),Terr-AIS,122,,-22.72154,64.15995,,,269
2018-02-07 19:42 (UTC),Terr-AIS,121,,-22.74751,64.15987,,,270
2018-02-07 19:44 (UTC),Terr-AIS,121,,-22.76563,64.15984,,,270
2018-02-07 19:47 (UTC),Terr-AIS,121,,-22.78612,64.15987,,,269
2018-02-07 19:50 (UTC),Terr-AIS,124,,-22.8043,64.15995,,,271
2018-02-07 19:53 (UTC),Terr-AIS,124,,-22.82545,64.16006,,,270
2018-02-07 19:57 (UTC),Terr-AIS,126,,-22.8453,64.16025,,,271
2018-02-07 19:59 (UTC),Terr-AIS,125,,-22.86378,64.16043,,,271
2018-02-07 20:01 (UTC),Terr-AIS,127,,-22.89318,64.16071,,,272
2018-02-07 20:04 (UTC),Terr-AIS,125,,-22.91148,64.16004,,,254
2018-02-07 20:07 (UTC),Terr-AIS,127,,-22.932,64.15736,,,253
2018-02-07 20:11 (UTC),Terr-AIS,125,,-22.94484,64.15567,,,253
2018-02-07 20:13 (UTC),Terr-AIS,127,,-22.96526,64.153,,,253
2018-02-07 20:15 (UTC),Terr-AIS,127,,-22.9859,64.15038,,,253
2018-02-07 20:18 (UTC),Terr-AIS,127,,-23.00907,64.14736,,,253
2018-02-07 20:20 (UTC),Terr-AIS,127,,-23.00907,64.14736,,,253
2018-02-07 20:22 (UTC),Terr-AIS,129,,-23.03103,64.14442,,,252
